female,age,college,nhhld,inc2019,pab2019,emp2020
1,22,0,1,14690.558,0,0
1,41,0,1,6585.1226,2498,0
0,39,1,1,6537.6914,2498,0
0,49,0,1,4225.4409,2498,1
0,23,0,1,9784.3223,2498,0
0,33,0,1,22566.191,0,1
1,40,1,1,23575.215,0,1
0,34,0,1,6134.5215,2498,0
1,45,0,1,7731.3237,2498,1
1,20,0,1,21523.098,0,0
0,24,1,1,3807.4456,2498,0
0,37,0,1,7827.4653,2498,0
1,33,1,1,5626.1543,2498,0
0,23,0,1,12468.32,2498,1
1,47,1,1,14498.5,0,0
0,46,0,1,17608.305,0,0
1,49,0,1,5026.7773,2498,0
1,42,1,1,2803.8088,2498,1
1,21,0,1,7170.5391,2498,0
0,46,0,1,1522.0308,2498,0
1,48,0,1,6744.5957,2498,1
0,54,0,1,23767.482,0,0
1,41,0,1,9199.8164,2498,0
0,19,0,1,6775.1401,2498,1
1,33,0,1,4998.0244,2498,1
0,22,0,1,4940.6626,2498,0
0,44,0,1,18571.738,0,1
1,50,0,1,10074.588,2498,0
0,53,0,1,28719.135,0,0
1,48,1,1,7539.2026,2498,0
0,52,0,1,11282.208,2498,0
0,25,0,1,12755.979,0,1
0,53,0,1,6262.3481,2498,0
0,51,0,1,6290.4927,2498,0
1,33,0,1,4858.4321,2498,0
1,49,1,1,13751.681,0,0
0,35,1,1,7409.8564,2498,1
0,32,0,1,7729.311,2498,0
1,28,0,1,7734.7822,2498,0
0,42,0,1,11197.505,2498,0
1,43,0,1,4891.501,2498,0
1,49,0,1,5311.3101,2498,0
0,45,1,1,8966.3027,2498,1
1,53,0,1,3471.3635,2498,0
1,32,0,1,21827.977,0,0
0,30,0,1,7002.5298,2498,1
0,26,0,1,5850.0293,2498,1
0,49,0,1,5835.1411,2498,1
1,49,0,1,7012.3271,2498,0
0,40,0,1,7543.2227,2498,0
0,35,0,1,14211.797,0,0
1,31,0,1,8652.5547,2498,1
0,34,0,1,6067.0659,2498,1
1,24,1,1,5405.0757,2498,0
0,22,1,1,10329.003,2498,1
0,47,0,1,4632.9072,2498,1
0,23,1,1,2885.9817,2498,0
1,20,1,1,9145.1094,2498,1
0,50,0,1,7888.9922,2498,0
0,52,1,1,5673.0396,2498,0
1,51,0,1,20536.975,0,1
1,21,0,1,12195.962,2498,0
1,46,0,1,13354.274,0,0
0,30,1,1,7797.9678,2498,0
1,34,1,1,15090.28,0,0
1,32,0,1,22774.086,0,1
1,33,0,1,4572.3521,2498,0
1,32,0,1,10146.142,2498,0
0,48,1,1,6661.3354,2498,0
1,51,1,1,17845.027,0,0
1,30,0,1,4627.8999,2498,0
0,54,0,1,5794.6646,2498,0
1,33,0,1,5701.3457,2498,0
0,42,0,1,3404.166,2498,1
1,42,0,1,5201.541,2498,1
0,31,0,1,9729.8604,2498,1
1,33,1,1,4106.1768,2498,0
0,41,1,1,18493.283,0,0
0,41,0,1,14434.292,0,1
1,52,0,1,5210.2046,2498,1
0,40,0,1,3503.137,2498,1
1,51,0,1,7015.2837,2498,0
1,19,0,1,6625.2671,2498,0
0,53,0,1,10099.003,2498,0
0,34,1,1,8173.1821,2498,0
1,32,0,1,5631.6567,2498,0
1,44,0,1,6370.6489,2498,0
0,40,0,1,5529.793,2498,0
0,34,0,1,6221.9219,2498,0
0,39,0,1,4102.1299,2498,0
0,43,0,1,10538.673,2498,1
1,49,1,1,16157.302,0,0
1,35,0,1,9277.5615,2498,0
0,42,1,1,4417.9697,2498,0
1,42,0,1,6356.2725,2498,0
0,28,1,1,3838.0032,2498,1
1,29,0,1,8377.751,2498,1
1,51,1,1,5915.2578,2498,0
0,31,1,1,23115.238,0,1
1,29,0,1,12465.931,2498,1
0,37,0,1,5625.3442,2498,0
0,44,0,1,5951.1655,2498,0
0,49,1,1,7922.6338,2498,1
0,51,0,1,7612.8979,2498,1
0,48,0,1,6117.3394,2498,1
1,47,1,1,8252.1846,2498,1
1,43,1,1,9309.9922,2498,0
0,49,0,1,6137.939,2498,1
0,49,1,1,8630.3701,2498,1
1,29,1,1,9657.0518,2498,0
1,41,0,1,10851.452,2498,0
0,48,0,1,12804.146,0,1
0,34,1,1,6109.2705,2498,1
1,29,1,1,11530.904,2498,1
1,41,1,1,31153.225,0,0
1,21,1,1,7201.0068,2498,0
0,53,0,1,9466.8809,2498,1
1,50,0,1,4267.9082,2498,1
0,19,1,1,2918.134,2498,0
0,45,1,1,4674.1626,2498,1
1,47,0,1,6355.4966,2498,1
0,27,0,1,7466.7407,2498,1
1,33,1,1,18384.453,0,1
0,50,0,1,10671.455,2498,0
1,37,0,1,9954.7471,2498,0
0,31,0,1,6819.519,2498,1
1,27,0,1,3162.1567,2498,0
1,37,0,1,7202.5039,2498,0
0,47,0,1,24516.191,0,0
1,27,1,1,6328.3765,2498,1
1,33,0,1,15858.851,0,0
0,24,0,1,13786.887,0,1
0,26,0,1,7338.5396,2498,1
0,46,0,1,11733.206,2498,0
0,24,1,1,5564.666,2498,1
0,52,0,1,8782.0176,2498,0
1,28,1,1,6238.3384,2498,1
0,41,1,1,6871.1963,2498,0
1,23,0,1,8284.4912,2498,0
1,22,0,1,5701.71,2498,1
1,49,0,1,16901.941,0,0
1,44,0,1,7258.2188,2498,0
0,31,1,1,17176.869,0,1
0,45,0,1,2492.467,2498,0
1,35,1,1,7479.8613,2498,1
0,19,0,1,5517.1401,2498,0
0,38,0,1,7948.1826,2498,0
0,18,0,1,24823.898,0,1
0,26,0,1,4455.3809,2498,1
1,44,0,1,9241.8945,2498,0
0,50,0,1,2727.2874,2498,1
0,33,1,1,4028.5615,2498,0
0,21,0,1,3918.3767,2498,0
0,34,1,1,7797.8042,2498,1
0,28,0,1,9744.96,2498,0
0,20,0,1,10325.96,2498,0
1,40,0,1,9207.0928,2498,1
1,27,0,1,6270.2847,2498,1
0,27,1,1,12808.359,0,1
0,45,0,1,8319.248,2498,1
1,39,0,1,20173.99,0,0
0,50,0,1,5392.626,2498,0
1,48,0,1,15610.6,0,1
0,21,0,1,7224.373,2498,1
0,43,1,1,17712.17,0,0
1,30,1,1,7944.1587,2498,1
1,53,0,1,3208.9224,2498,0
0,31,1,1,2394.2554,2498,0
0,22,0,1,18233.609,0,0
0,47,1,1,7100.936,2498,0
0,42,1,1,11134.358,2498,1
1,42,0,1,8160.5259,2498,0
1,48,0,1,9523.04,2498,1
0,52,1,1,2722.394,2498,1
1,38,0,1,1837.9219,2498,1
1,27,1,1,7141.0918,2498,0
0,21,1,1,12293,2498,1
0,42,1,1,12797.139,0,0
0,48,0,1,17318.938,0,1
0,32,1,1,6344.1299,2498,1
0,51,0,1,10838.555,2498,0
0,24,1,1,14123.904,0,1
1,44,1,1,11337.82,2498,1
0,39,0,1,7451.2119,2498,0
0,32,1,1,3585.6404,2498,1
0,18,1,1,8318.0186,2498,0
0,25,0,1,7219.4146,2498,1
1,32,0,1,5772.145,2498,1
0,29,0,1,12136.916,2498,1
0,38,0,1,9223.5361,2498,0
1,50,1,1,2598.895,2498,1
0,19,0,1,3569.019,2498,0
1,29,0,1,8112.0762,2498,1
1,23,1,1,8511.1094,2498,0
1,30,1,1,8188.9268,2498,0
0,42,0,1,25235.195,0,1
1,37,1,1,5395.4038,2498,0
0,38,0,1,9922.4268,2498,0
0,51,0,1,4517.708,2498,1
1,20,0,1,6195.585,2498,0
0,46,1,1,3538.4429,2498,1
1,50,1,1,10867.701,2498,0
0,43,0,1,3464.1277,2498,1
1,36,1,1,5942.8965,2498,0
0,24,0,1,7318.083,2498,0
0,48,1,1,11651.327,2498,0
0,50,0,1,13387.557,0,1
0,42,0,1,24862.969,0,0
1,38,1,1,7931.5693,2498,0
0,41,1,1,10592.257,2498,1
1,31,0,1,3291.4578,2498,0
1,35,0,1,4112.1846,2498,0
1,47,1,1,11314.036,2498,0
1,46,1,1,9580.6934,2498,0
0,27,1,1,7335.9087,2498,1
0,48,0,1,5424.2954,2498,0
1,42,0,1,18032.063,0,1
1,46,0,1,8990.6895,2498,0
1,41,0,1,10781.575,2498,0
0,37,0,1,8966.748,2498,1
0,43,0,1,1624.2164,2498,1
1,52,1,1,5713.478,2498,0
1,26,1,1,7868.6748,2498,1
0,51,0,1,19883.68,0,0
0,24,0,1,18060.219,0,0
0,47,0,1,2367.1277,2498,1
1,19,1,1,14555.01,0,0
1,33,0,1,3717.1116,2498,1
0,19,0,1,13078.032,0,0
0,47,1,1,2860.1262,2498,1
0,42,1,1,4051.4783,2498,1
0,34,0,1,20028.223,0,0
1,43,1,1,19056.756,0,1
1,24,0,1,17830.178,0,1
1,19,1,1,5942.0234,2498,0
1,54,0,1,3969.5061,2498,0
1,26,0,1,7803.5771,2498,1
1,26,0,1,11058.578,2498,0
1,44,1,1,8651.6553,2498,0
1,42,1,1,3553.7388,2498,0
0,29,0,1,7801.6797,2498,1
1,38,1,1,10003.436,2498,0
1,26,0,1,16870.939,0,0
0,46,0,1,10174.318,2498,1
0,41,0,1,6584.6201,2498,0
1,40,1,1,4389.4829,2498,0
0,45,1,1,5174.4478,2498,0
0,46,0,1,14201.541,0,0
0,26,1,1,6020.6899,2498,0
0,28,1,1,15006.24,0,0
0,42,1,1,5032.3125,2498,0
1,26,1,1,6055.8574,2498,0
0,27,0,1,6436.2417,2498,0
1,52,0,1,4513.1177,2498,0
1,37,0,1,7843.7554,2498,0
1,48,0,1,7435.2119,2498,0
0,23,1,1,25875.744,0,1
0,25,0,1,10169.177,2498,0
0,27,0,1,12684.976,0,1
1,24,0,1,11633.219,2498,1
1,31,0,1,5640.0576,2498,1
1,37,0,1,7841.1826,2498,1
0,25,0,1,10837.583,2498,1
0,25,0,1,18845.482,0,0
0,40,0,1,8975.543,2498,0
0,49,1,1,8801.7305,2498,1
0,46,1,1,10344.875,2498,1
0,24,1,1,7935.8594,2498,0
0,24,0,1,4560.6548,2498,1
0,52,0,1,19023.072,0,1
1,25,0,1,14293.051,0,0
1,25,1,1,6866.146,2498,1
1,48,0,1,6037.8823,2498,0
0,30,0,1,6568.376,2498,0
0,44,1,1,4028.646,2498,0
1,52,1,1,7451.2334,2498,1
0,28,0,1,15288.909,0,0
1,31,0,1,14162.332,0,0
1,27,0,1,9399.2666,2498,0
1,24,1,1,7399.7017,2498,1
0,34,0,1,12710.114,0,1
1,44,1,1,8704.4814,2498,1
0,24,0,1,7530.9028,2498,0
1,28,0,1,21192.264,0,1
1,49,0,1,10554.081,2498,1
1,45,1,1,7505.7002,2498,1
0,31,0,1,2637.7278,2498,1
0,52,0,1,11124.626,2498,0
0,44,0,1,7687.9219,2498,0
1,30,1,1,7657.1245,2498,0
0,24,0,1,5098.7456,2498,1
1,50,0,1,19830.844,0,0
0,25,0,1,5694.0645,2498,0
1,52,0,1,6506.188,2498,1
1,23,1,1,5953.3965,2498,0
0,50,1,1,12468.487,2498,0
1,25,0,1,11100.749,2498,1
0,20,0,1,23996.375,0,1
1,26,0,1,12391.86,2498,1
0,25,0,1,2766.0291,2498,0
0,27,0,1,5411.9253,2498,1
1,29,0,1,4888.1763,2498,0
0,40,0,1,11819.007,2498,0
1,28,0,1,8087.8052,2498,1
0,27,0,1,8881.1748,2498,0
1,31,1,1,5185.6172,2498,1
0,19,0,1,15305.35,0,0
0,20,0,1,4566.626,2498,1
1,44,0,1,13248.38,0,0
0,46,0,1,6704.5273,2498,0
1,25,0,1,13367.322,0,1
0,45,0,1,8055.0063,2498,0
1,43,0,1,10716.145,2498,1
0,49,0,1,4939.8052,2498,0
0,33,0,1,5865.6826,2498,0
1,28,1,1,3550.0261,2498,1
0,19,0,1,8114.8774,2498,1
0,18,1,1,8455.9238,2498,1
1,30,1,1,7580.4272,2498,1
0,45,0,1,15128.466,0,0
1,46,0,1,6161.1157,2498,0
0,19,0,1,14714.997,0,0
1,25,1,1,5343.6587,2498,1
1,33,0,1,4720.5454,2498,0
0,53,0,1,6917.8335,2498,1
0,28,0,1,13329.972,0,1
1,41,1,1,12576.373,0,0
0,34,0,1,7533.8984,2498,0
0,49,0,1,7997.2549,2498,0
1,50,1,1,6087.4902,2498,0
1,29,0,1,42118.324,0,0
0,22,0,1,9160.8477,2498,0
0,38,1,1,5564.3955,2498,1
1,33,0,1,6086.2246,2498,0
0,48,0,1,18223.422,0,0
1,24,1,1,13799.909,0,0
0,36,0,1,5128.7725,2498,1
0,33,1,1,8103.2925,2498,1
1,28,0,1,4805.1689,2498,0
0,47,1,1,4201.2915,2498,1
1,22,0,1,19251.055,0,1
1,52,1,1,7816.0303,2498,1
0,35,0,1,9917.5068,2498,0
0,25,1,1,7699.2139,2498,1
1,29,0,1,8458.957,2498,0
1,22,0,1,3925.2024,2498,0
1,35,0,1,4012.5532,2498,1
0,47,0,1,8010.6201,2498,1
1,31,1,1,9896.3906,2498,0
1,19,0,1,9109.4385,2498,0
0,52,0,1,6758.6841,2498,0
0,24,0,1,3427.0686,2498,1
1,20,0,1,7336.6641,2498,0
0,37,0,1,4023.946,2498,0
1,49,1,1,2004.7399,2498,1
1,52,0,1,9636.2598,2498,0
0,23,0,1,8182.0415,2498,0
1,49,1,1,5687.9209,2498,1
1,35,0,1,4151.4067,2498,0
0,48,0,1,7439.1133,2498,0
0,20,0,1,12256.324,2498,0
1,25,0,1,14563.299,0,0
0,21,1,1,12486.729,2498,0
1,25,0,1,8427.1201,2498,1
1,51,0,1,9268.833,2498,1
0,21,0,1,7998.4292,2498,1
0,28,1,1,8049.5845,2498,0
1,50,0,1,20434.582,0,0
1,26,1,1,2360.8196,2498,1
0,53,1,1,4944.9097,2498,1
0,34,1,1,11867.801,2498,0
0,41,1,1,12303.802,2498,1
0,43,0,1,12499.228,0,0
0,20,0,1,4946.9805,2498,1
1,30,0,1,7387.3198,2498,0
1,33,0,1,7816.4922,2498,1
0,40,0,1,13800.659,0,1
0,30,0,1,15347.138,0,0
0,39,0,1,5110.2632,2498,1
1,53,1,1,6286.5469,2498,1
0,53,1,1,18159.959,0,0
0,25,0,1,6891.6914,2498,0
1,33,1,1,3710.4177,2498,0
1,42,1,1,7386.813,2498,0
1,50,0,1,11005.899,2498,1
0,35,0,1,4254.9888,2498,1
0,45,1,1,8756.1855,2498,0
1,18,0,1,4434.6602,2498,0
1,48,0,1,5784.1025,2498,1
1,28,1,1,12787.989,0,0
1,53,0,1,17755.076,0,0
0,21,1,1,5149.6953,2498,0
0,50,0,1,5580.439,2498,0
0,45,1,1,4680.1172,2498,0
1,41,1,1,8493.9678,2498,1
1,27,0,1,8994.2139,2498,0
0,23,0,1,6609.3452,2498,0
1,53,1,1,5185.5776,2498,0
0,45,1,1,9354.2773,2498,1
1,32,1,1,4884.0479,2498,1
1,19,0,1,2907.219,2498,0
1,36,1,1,3953.6006,2498,1
1,43,0,1,4405.4609,2498,1
0,34,0,1,4115.3306,2498,1
0,54,1,1,16344.252,0,1
1,22,0,1,5161.7612,2498,0
0,39,0,1,4870.5728,2498,1
0,50,0,1,3775.6907,2498,1
0,45,0,1,4366.5151,2498,1
1,51,1,1,8341.8584,2498,0
0,51,0,1,4684.7168,2498,1
1,41,0,1,13023.506,0,0
0,50,0,1,4042.2505,2498,1
1,37,0,1,9600.8154,2498,1
1,50,1,1,6902.9658,2498,1
0,30,0,1,4368.4644,2498,1
0,39,0,1,3465.1619,2498,0
0,23,1,1,12138.004,2498,1
1,31,1,1,16347.198,0,1
1,33,0,1,12437.704,2498,0
0,38,0,1,3964.5388,2498,1
0,52,0,1,4554.5088,2498,0
0,29,1,1,10768.228,2498,1
1,35,1,1,5280.6074,2498,1
0,24,0,1,25974.121,0,0
1,44,0,1,13172.098,0,1
1,38,1,1,8626.3623,2498,0
0,23,0,1,11023.925,2498,0
0,41,0,1,20611.143,0,0
0,31,0,1,18340.357,0,1
0,43,1,1,11515.409,2498,1
1,48,1,1,7959.3027,2498,0
0,35,0,1,10312.576,2498,0
0,23,0,1,11477.344,2498,0
1,43,0,1,6196.2109,2498,0
0,34,0,1,3048.8916,2498,0
1,19,0,1,8403.918,2498,1
1,19,1,1,6252.2334,2498,0
1,50,0,1,8843.2861,2498,1
0,53,1,1,7464.5405,2498,1
1,25,1,1,6900.4185,2498,1
0,25,0,1,5962.8228,2498,0
0,33,1,1,19261.266,0,0
0,20,1,1,20939.893,0,0
1,23,0,1,11958.349,2498,1
0,53,0,1,4939.2305,2498,0
0,38,0,1,14686.369,0,0
1,29,1,1,4338.981,2498,0
0,34,0,1,9347.2861,2498,0
1,46,0,1,12669.307,0,0
1,37,0,1,11103.247,2498,1
0,47,0,1,21550.539,0,0
0,27,0,1,7460.4771,2498,1
0,34,0,1,7734.7749,2498,0
1,52,1,1,2530.2463,2498,0
1,34,0,1,5976.4292,2498,1
0,49,0,1,16686.779,0,0
1,44,0,1,7917.7695,2498,0
0,30,0,1,7213.2896,2498,0
0,32,0,1,5609.0322,2498,1
1,53,0,1,8935.9043,2498,0
0,52,1,1,5309.5273,2498,0
0,33,1,1,6557.1855,2498,0
0,52,0,1,4773.6484,2498,1
1,22,1,1,5073.0391,2498,0
1,47,0,1,7781.127,2498,0
0,41,0,1,17416.229,0,0
1,25,0,1,3346.3975,2498,0
0,32,0,1,7800.6377,2498,0
0,35,1,1,3583.3774,2498,0
1,50,0,1,8959.3789,2498,0
0,19,0,1,7425.9575,2498,1
0,52,1,1,10890.215,2498,0
0,27,0,1,5220.8735,2498,0
1,25,1,1,7063.4712,2498,1
1,29,0,1,11051.609,2498,0
0,49,0,1,3264.3457,2498,0
0,30,0,1,7756.7881,2498,1
0,51,0,1,5512.228,2498,0
0,22,0,1,6553.3594,2498,1
1,19,1,1,6225.4893,2498,0
1,24,0,1,11247.476,2498,0
0,27,1,1,7379.666,2498,1
0,42,1,1,9518.165,2498,1
0,20,0,1,26826.396,0,0
0,25,0,1,30044.828,0,0
1,40,1,1,5157.8545,2498,0
0,44,0,1,6670.8965,2498,0
0,27,0,1,13720.02,0,0
0,18,0,1,4924.1143,2498,1
0,34,0,1,6888.6948,2498,0
0,35,1,1,4022.2656,2498,0
1,37,0,1,4005.5183,2498,0
0,48,0,1,3463.49,2498,0
0,21,0,1,5667.4048,2498,0
0,24,0,1,4714.2603,2498,0
0,28,1,1,12252.538,2498,0
0,38,0,1,7250.1797,2498,0
0,45,0,1,10659.523,2498,1
1,41,0,1,15130.327,0,1
1,23,0,1,8032.9971,2498,1
1,44,0,1,11730.487,2498,0
0,31,0,1,12197.788,2498,0
1,21,0,1,17027.26,0,0
1,32,1,1,17586.303,0,0
0,26,0,1,16367.415,0,1
0,20,0,1,8345.3916,2498,0
0,25,0,1,3718.583,2498,1
1,45,1,1,7936.1396,2498,1
0,36,1,1,14701.307,0,0
0,41,0,1,10685.468,2498,0
1,20,1,1,7604.8867,2498,0
0,31,1,1,13342.933,0,0
0,42,1,1,4821.7637,2498,0
0,32,0,1,11543.48,2498,0
0,21,0,1,2494.1111,2498,0
1,18,0,1,20500.578,0,1
0,41,0,1,14160.09,0,1
1,31,0,1,4421.8813,2498,1
0,39,0,1,5888.0957,2498,1
1,52,1,1,2103.2085,2498,1
0,43,0,1,17071.551,0,0
0,41,0,1,7320.7778,2498,1
0,42,0,1,12571.637,0,0
0,29,1,1,10792.254,2498,0
0,42,1,1,3913.7456,2498,0
1,42,0,1,16478.443,0,0
0,19,0,1,5145.0615,2498,1
0,28,0,1,17567.965,0,0
1,39,1,1,9656.3516,2498,0
1,24,0,1,2585.2681,2498,0
0,48,1,1,5254.4302,2498,0
1,36,1,1,17060.029,0,0
0,42,0,1,12159.287,2498,0
0,43,1,1,5482.1099,2498,0
1,19,0,1,6924.3086,2498,0
1,44,0,1,8383.3613,2498,1
0,39,0,1,6638.7642,2498,1
0,49,0,1,13106.813,0,1
1,39,0,1,4609.2065,2498,1
1,21,0,1,36958.766,0,0
1,28,0,1,10084.566,2498,0
1,43,1,1,6877.4507,2498,1
0,32,0,1,11642.52,2498,0
0,39,1,1,7912.9609,2498,0
0,50,1,1,24475.52,0,1
1,42,1,1,12675.519,0,0
0,38,0,1,7235.1914,2498,0
0,35,0,1,12484.931,2498,1
0,52,1,1,5034.4053,2498,1
0,45,0,1,7697.2759,2498,1
1,48,0,1,3820.6892,2498,1
